Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev
python-openpyxl,,,N,N,Y,N,N,Y,,,NA,N
python-openstackdocstheme,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-oslo-i18n,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-oslo-sphinx,,,N,N,Y,Y,N,N,,,NA,N
python-paramiko,,,N,N,Y,Y,N,N,,,NA,N
python-podman-api,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-productmd,Sandeep,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-pycares,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-pydbus,,,N,N,Y,Y,N,N,,,NA,N
python-pymongo,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-pyperclip,,,N,N,Y,Y,N,N,,,NA,N
python-pyroute2,,,N,N,Y,N,N,Y,,,NA,N
python-pyrsistent,,,N,N,Y,Y,N,N,,,NA,N
python-pysocks,,,N,N,Y,Y,N,N,,,NA,N
python-pytest-flake8,,,N,N,Y,Y,N,N,,,NA,N
python-pytest-relaxed,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-pytest-runner,,,N,N,Y,Y,N,N,,,NA,N
python-pytest-subtests,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-pytest-timeout,Sandeep,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-pytoml,,,N,N,Y,Y,N,N,,,NA,N
python-qrcode,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-rdflib,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-recommonmark,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N
python-redis,,,N,N,N,N,Y,N,,,NA,N
python-requests-file,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-requests-ftp,,,N,N,Y,Y,N,N,,,NA,N
python-requests-kerberos,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-requests-mock,,,N,N,Y,Y,N,N,,,NA,N
python-requests-toolbelt,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N
python-requests_ntlm,,,N,N,Y,Y,N,N,,,NA,N
python-rfc3986,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-rpm-generators,,,N,N,Y,N,N,Y,,,NA,N
python-rpmfluff,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-rtslib,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-s3transfer,,,N,N,Y,Y,N,N,,,NA,N
python-semantic_version,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-should_dsl,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-simpleline,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-slip,,,N,N,Y,Y,N,N,,,NA,N
python-sniffio,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-soupsieve,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-sphinx-epytext,,,N,N,Y,Y,N,N,,,NA,N
python-sphinxcontrib-apidoc,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-sphinxcontrib-httpdomain,,,N,N,Y,Y,N,N,,,NA,N
python-suds,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-systemd,,,N,N,Y,Y,N,N,,,NA,N
python-tempita,,,N,N,Y,Y,N,N,,,NA,N
python-templated-dictionary,,,N,N,Y,N,N,Y,,,NA,N
python-testpath,Aninda,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-testresources,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-testscenarios,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-testtools,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-toml,Archana,,N,N,Y,Y,N,N,,,NA,N
python-tornado,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-tox,Jyoti,,N,N,Y,Y,N,N,,,NA,N
python-trio,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-uamqp,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-unittest2,,,N,N,Y,Y,N,N,,,NA,N
python-uritemplate,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-urwid,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-varlink,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-voluptuous,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-waitress,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
python-webencodings,,,N,N,Y,Y,N,N,,,NA,N
python-webtest,,,N,N,Y,Y,N,N,,,NA,N
python-whoosh,,,N,N,Y,Y,N,N,,,NA,N
python-winrm,,,N,N,Y,Y,N,N,,,NA,N
python-xmltodict,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
python-yubico,,,N,N,Y,Y,N,N,,,NA,N
python-zmq,,,N,N,Y,Y,N,N,,,NA,N
python3-mallard-ducktype,Archana,,N,N,Y,Y,N,N,,,NA,N
python3-typed_ast,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
pyusb,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N
pywbem,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
pyxattr,Sreenivasulu,,N,N,Y,Y,N,N,,New P0,NA,N
qhull,Akhila,,N,N,Y,Y,N,N,,P0,NA,N
qpdf,Akhila,,N,N,Y,Y,N,N,,CP_batch1,NA,N
qperf,,,N,N,Y,Y,N,N,,,NA,N
